index,qrCode,location,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,block,row,range,plotNumber,genotype,plantingDate,totalStandCount,daysToAnthesis,GDDToAnthesis,yieldPerAcre
8,NA,Ames,NA,NA,0,4231,NA,NA,2,23,NA,NA,NA,NA,NA,NA,NA
11,NA,Ames,NA,NA,0,4231,NA,NA,2,31,NA,NA,NA,NA,NA,NA,NA
0,NA,Ames,NA,NA,0,4231,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA
9,NA,Ames,NA,NA,0,4231,NA,NA,3,29,NA,NA,NA,NA,NA,NA,NA
12,NA,Ames,NA,NA,0,4231,NA,NA,3,31,NA,NA,NA,NA,NA,NA,NA
7,NA,Ames,NA,NA,0,4233,NA,NA,3,20,NA,NA,NA,NA,NA,NA,NA
11,NA,Ames,NA,NA,0,4233,NA,NA,3,24,NA,NA,NA,NA,NA,NA,NA
13,NA,Ames,NA,NA,0,4231,NA,NA,4,31,NA,NA,NA,NA,NA,NA,NA
0,NA,Ames,NA,NA,0,4233,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA
3,NA,Ames,NA,NA,0,4233,NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA
14,NA,Ames,NA,NA,0,4231,NA,NA,5,31,NA,NA,NA,NA,NA,NA,NA
5,NA,Ames,NA,NA,0,4233,NA,NA,5,18,NA,NA,NA,NA,NA,NA,NA
1,NA,Ames,NA,NA,0,4231,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA
2,NA,Ames,NA,NA,0,4231,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA
3,NA,Ames,NA,NA,0,4231,NA,NA,6,12,NA,NA,NA,NA,NA,NA,NA
4,NA,Ames,NA,NA,0,4231,NA,NA,6,16,NA,NA,NA,NA,NA,NA,NA
6,NA,Ames,NA,NA,0,4231,NA,NA,6,22,NA,NA,NA,NA,NA,NA,NA
15,NA,Ames,NA,NA,0,4231,NA,NA,6,31,NA,NA,NA,NA,NA,NA,NA
5,NA,Ames,NA,NA,0,4231,NA,NA,7,16,NA,NA,NA,NA,NA,NA,NA
7,NA,Ames,NA,NA,0,4231,NA,NA,7,22,NA,NA,NA,NA,NA,NA,NA
10,NA,Ames,NA,NA,0,4231,NA,NA,7,30,NA,NA,NA,NA,NA,NA,NA
16,NA,Ames,NA,NA,0,4231,NA,NA,7,31,NA,NA,NA,NA,NA,NA,NA
9,NA,Ames,NA,NA,0,4233,NA,NA,7,22,NA,NA,NA,NA,NA,NA,NA
4,NA,Ames,NA,NA,0,4233,NA,NA,8,14,NA,NA,NA,NA,NA,NA,NA
6,NA,Ames,NA,NA,0,4233,NA,NA,8,18,NA,NA,NA,NA,NA,NA,NA
8,NA,Ames,NA,NA,0,4233,NA,NA,8,20,NA,NA,NA,NA,NA,NA,NA
1,NA,Ames,NA,NA,0,4233,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA
2,NA,Ames,NA,NA,0,4233,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA
10,NA,Ames,NA,NA,0,4233,NA,NA,9,22,NA,NA,NA,NA,NA,NA,NA
12,NA,Ames,NA,NA,0,4233,NA,NA,9,24,NA,NA,NA,NA,NA,NA,NA
8,NA,Ames,NA,NA,0,4232,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA
13,NA,Ames,NA,NA,0,4232,NA,NA,17,31,NA,NA,NA,NA,NA,NA,NA
2,NA,Ames,NA,NA,0,4232,NA,NA,18,4,NA,NA,NA,NA,NA,NA,NA
4,NA,Ames,NA,NA,0,4232,NA,NA,18,7,NA,NA,NA,NA,NA,NA,NA
5,NA,Ames,NA,NA,0,4232,NA,NA,18,12,NA,NA,NA,NA,NA,NA,NA
14,NA,Ames,NA,NA,0,4232,NA,NA,18,31,NA,NA,NA,NA,NA,NA,NA
15,NA,Ames,NA,NA,0,4232,NA,NA,19,31,NA,NA,NA,NA,NA,NA,NA
9,NA,Ames,NA,NA,0,4232,NA,NA,20,18,NA,NA,NA,NA,NA,NA,NA
11,NA,Ames,NA,NA,0,4232,NA,NA,20,25,NA,NA,NA,NA,NA,NA,NA
16,NA,Ames,NA,NA,0,4232,NA,NA,20,31,NA,NA,NA,NA,NA,NA,NA
0,NA,Ames,NA,NA,0,4232,NA,NA,21,2,NA,NA,NA,NA,NA,NA,NA
1,NA,Ames,NA,NA,0,4232,NA,NA,21,3,NA,NA,NA,NA,NA,NA,NA
3,NA,Ames,NA,NA,0,4232,NA,NA,21,4,NA,NA,NA,NA,NA,NA,NA
6,NA,Ames,NA,NA,0,4232,NA,NA,21,16,NA,NA,NA,NA,NA,NA,NA
10,NA,Ames,NA,NA,0,4232,NA,NA,21,24,NA,NA,NA,NA,NA,NA,NA
17,NA,Ames,NA,NA,0,4232,NA,NA,21,31,NA,NA,NA,NA,NA,NA,NA
