qrCode,location,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,block,row,range,plotNumber,genotype,plantingDate,totalStandCount,daysToAnthesis,GDDToAnthesis,yieldPerAcre
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5026ROW2$RANGE14$@PHB47 X PHK56,Lincoln,0,Low,75,75,17.5,1,2,14,5026,PHB47 X PHK56,5/16/23,51.0,62.0,1364.975,117.56
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5027ROW3$RANGE14$@PHW52 X PHN82,Lincoln,0,Low,75,75,17.5,1,3,14,5027,PHW52 X PHN82,5/16/23,48.0,64.0,1408.025,93.28
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5029ROW5$RANGE14$@2369 X PHZ51,Lincoln,0,Low,75,75,17.5,1,5,14,5029,2369 X PHZ51,5/16/23,64.0,65.0,1431.075,79.08
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5030ROW6$RANGE14$@PHT69 X 3IIH6,Lincoln,0,Low,75,75,17.5,1,6,14,5030,PHT69 X 3IIH6,5/16/23,54.0,57.0,1249.125,99.91
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5031ROW7$RANGE14$@LH195 X 3IIH6,Lincoln,0,Low,75,75,17.5,1,7,14,5031,LH195 X 3IIH6,5/16/23,59.0,66.0,1452.275,130.59
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5032ROW8$RANGE14$@PHW52 X LH185,Lincoln,0,Low,75,75,17.5,1,8,14,5032,PHW52 X LH185,5/16/23,44.0,66.0,1452.275,96.3
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5034ROW10$RANGE14$@PHG39 X PHM49,Lincoln,0,Low,75,75,17.5,1,10,14,5034,PHG39 X PHM49,5/16/23,31.0,67.0,1475.175,95.97
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5035ROW11$RANGE14$@LH195 X PHZ51,Lincoln,0,Low,75,75,17.5,1,11,14,5035,LH195 X PHZ51,5/16/23,57.0,66.0,1452.275,79.16
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5036ROW12$RANGE14$@LH74 X PHN82,Lincoln,0,Low,75,75,17.5,1,12,14,5036,LH74 X PHN82,5/16/23,38.0,65.0,1431.075,122.48
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5038ROW14$RANGE14$@PHK56 X LH198,Lincoln,0,Low,75,75,17.5,1,14,14,5038,PHK56 X LH198,5/16/23,44.0,66.0,1452.275,122.53
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5039ROW15$RANGE14$@2369 X PHN82,Lincoln,0,Low,75,75,17.5,1,15,14,5039,2369 X PHN82,5/16/23,50.0,64.0,1408.025,77.8
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5040ROW16$RANGE14$@PHJ40 X LH82,Lincoln,0,Low,75,75,17.5,1,16,14,5040,PHJ40 X LH82,5/16/23,55.0,57.0,1249.125,81.28
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5042ROW18$RANGE14$@HOEGEMEYER 7089 AMXT,Lincoln,0,Low,75,75,17.5,1,18,14,5042,HOEGEMEYER 7089 AMXT,5/16/23,34.0,62.0,1364.975,111.91
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5043ROW19$RANGE14$@PHP02 X LH198,Lincoln,0,Low,75,75,17.5,1,19,14,5043,PHP02 X LH198,5/16/23,36.0,61.0,1344.175,131.02
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5045ROW21$RANGE14$@PHK76 X 3IIH6,Lincoln,0,Low,75,75,17.5,1,21,14,5045,PHK76 X 3IIH6,5/16/23,56.0,61.0,1344.175,103.98
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5047ROW23$RANGE14$@PHP02 X LH145,Lincoln,0,Low,75,75,17.5,1,23,14,5047,PHP02 X LH145,5/16/23,60.0,57.0,1249.125,79.35
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5048ROW24$RANGE14$@PHN46 X PHK56,Lincoln,0,Low,75,75,17.5,1,24,14,5048,PHN46 X PHK56,5/16/23,65.0,64.0,1408.025,135.08
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5049ROW25$RANGE14$@PHP02 X LH82,Lincoln,0,Low,75,75,17.5,1,25,14,5049,PHP02 X LH82,5/16/23,63.0,60.0,1319.975,104.82
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5050ROW26$RANGE14$@PHP02 X W606S,Lincoln,0,Low,75,75,17.5,1,26,14,5050,PHP02 X W606S,5/16/23,50.0,61.0,1344.175,98.35
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5051ROW2$RANGE15$@B73 X PHN82,Lincoln,0,Low,75,75,17.5,1,2,15,5051,B73 X PHN82,5/16/23,57.0,67.0,1475.175,97.21
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5054ROW5$RANGE15$@B84 X 3IIH6,Lincoln,0,Low,75,75,17.5,1,5,15,5054,B84 X 3IIH6,5/16/23,54.0,64.0,1408.025,89.46
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5056ROW7$RANGE15$@PHP02 X PHB47,Lincoln,0,Low,75,75,17.5,1,7,15,5056,PHP02 X PHB47,5/16/23,34.0,60.0,1319.975,82.77
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5057ROW8$RANGE15$@2369 X LH123HT,Lincoln,0,Low,75,75,17.5,1,8,15,5057,2369 X LH123HT,5/16/23,53.0,68.0,1499.325,89.04
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5059ROW10$RANGE15$@B73 X 3IIH6,Lincoln,0,Low,75,75,17.5,1,10,15,5059,B73 X 3IIH6,5/16/23,53.0,62.0,1364.975,129.1
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5060ROW11$RANGE15$@LH145 X LH162,Lincoln,0,Low,75,75,17.5,1,11,15,5060,LH145 X LH162,5/16/23,46.0,60.0,1319.975,80.36
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5064ROW15$RANGE15$@PHK56 X LH82,Lincoln,0,Low,75,75,17.5,1,15,15,5064,PHK56 X LH82,5/16/23,46.0,61.0,1344.175,123.04
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5065ROW16$RANGE15$@LH123HT X PHB47,Lincoln,0,Low,75,75,17.5,1,16,15,5065,LH123HT X PHB47,5/16/23,49.0,68.0,1499.325,93.3
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5067ROW18$RANGE15$@PHK76 X W606S,Lincoln,0,Low,75,75,17.5,1,18,15,5067,PHK76 X W606S,5/16/23,36.0,62.0,1364.975,113.71
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5068ROW19$RANGE15$@PHK56 X W606S,Lincoln,0,Low,75,75,17.5,1,19,15,5068,PHK56 X W606S,5/16/23,6.0,64.0,1408.025,46.15
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5070ROW21$RANGE15$@PHK76 X LH198,Lincoln,0,Low,75,75,17.5,1,21,15,5070,PHK76 X LH198,5/16/23,56.0,62.0,1364.975,93.02
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5072ROW23$RANGE15$@SYNGENTA NK0659-3120-EZ1,Lincoln,0,Low,75,75,17.5,1,23,15,5072,SYNGENTA NK0659-3120-EZ1,5/16/23,30.0,62.0,1364.975,104.32
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5073ROW24$RANGE15$@PIONEER P0589 AMXT,Lincoln,0,Low,75,75,17.5,1,24,15,5073,PIONEER P0589 AMXT,5/16/23,62.0,62.0,1364.975,135.19
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5074ROW25$RANGE15$@LH82 X W606S,Lincoln,0,Low,75,75,17.5,1,25,15,5074,LH82 X W606S,5/16/23,60.0,64.0,1408.025,130.45
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5075ROW26$RANGE15$@PHK76 X LH82,Lincoln,0,Low,75,75,17.5,1,26,15,5075,PHK76 X LH82,5/16/23,9.0,67.0,1475.175,67.78
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5076ROW2$RANGE16$@PHW52 X PHM49,Lincoln,0,Low,75,75,17.5,1,2,16,5076,PHW52 X PHM49,5/16/23,55.0,69.0,1526.575,105.27
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5077ROW3$RANGE16$@F42 X OH43,Lincoln,0,Low,75,75,17.5,1,3,16,5077,F42 X OH43,5/16/23,49.0,64.0,1408.025,93.4
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5079ROW5$RANGE16$@N209 X 3IIH6,Lincoln,0,Low,75,75,17.5,1,5,16,5079,N209 X 3IIH6,5/16/23,54.0,64.0,1408.025,97.8
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5080ROW6$RANGE16$@PHW52 X PHZ51,Lincoln,0,Low,75,75,17.5,1,6,16,5080,PHW52 X PHZ51,5/16/23,58.0,65.0,1431.075,92.47
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5081ROW7$RANGE16$@F42 X MO17,Lincoln,0,Low,75,75,17.5,1,7,16,5081,F42 X MO17,5/16/23,38.0,67.0,1475.175,95.54
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5082ROW8$RANGE16$@B37 X MO17,Lincoln,0,Low,75,75,17.5,1,8,16,5082,B37 X MO17,5/16/23,46.0,68.0,1499.325,74.71
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5084ROW10$RANGE16$@2369 X 3IIH6,Lincoln,0,Low,75,75,17.5,1,10,16,5084,2369 X 3IIH6,5/16/23,58.0,62.0,1364.975,108.36
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5085ROW11$RANGE16$@LH198 X PHZ51,Lincoln,0,Low,75,75,17.5,1,11,16,5085,LH198 X PHZ51,5/16/23,42.0,,,77.78
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5086ROW12$RANGE16$@B14A X MO17,Lincoln,0,Low,75,75,17.5,1,12,16,5086,B14A X MO17,5/16/23,52.0,67.0,1475.175,147.79
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5088ROW14$RANGE16$@LH74 X PHM49,Lincoln,0,Low,75,75,17.5,1,14,16,5088,LH74 X PHM49,5/16/23,57.0,67.0,1475.175,88.26
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5089ROW15$RANGE16$@PHB47 X LH185,Lincoln,0,Low,75,75,17.5,1,15,16,5089,PHB47 X LH185,5/16/23,48.0,64.0,1408.025,106.71
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5090ROW16$RANGE16$@LH185 X LH82,Lincoln,0,Low,75,75,17.5,1,16,16,5090,LH185 X LH82,5/16/23,35.0,62.0,1364.975,103.73
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5092ROW18$RANGE16$@PHP02 X PHG47,Lincoln,0,Low,75,75,17.5,1,18,16,5092,PHP02 X PHG47,5/16/23,29.0,59.0,1296.725,101.57
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5093ROW19$RANGE16$@PHP02 X PHK76,Lincoln,0,Low,75,75,17.5,1,19,16,5093,PHP02 X PHK76,5/16/23,34.0,58.0,1273.775,105.72
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5095ROW21$RANGE16$@SYNGENTA NK0760-3111,Lincoln,0,Low,75,75,17.5,1,21,16,5095,SYNGENTA NK0760-3111,5/16/23,52.0,66.0,1452.275,118.26
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5096ROW22$RANGE16$@PHK56 X LH145,Lincoln,0,Low,75,75,17.5,1,22,16,5096,PHK56 X LH145,5/16/23,38.0,59.0,1296.725,69.75
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5097ROW23$RANGE16$@PHN46 X PHB47,Lincoln,0,Low,75,75,17.5,1,23,16,5097,PHN46 X PHB47,5/16/23,47.0,66.0,1452.275,89.16
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5098ROW24$RANGE16$@WYFFELS W1782,Lincoln,0,Low,75,75,17.5,1,24,16,5098,WYFFELS W1782,5/16/23,53.0,61.0,1344.175,128.67
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5099ROW25$RANGE16$@2369 X PHP02,Lincoln,0,Low,75,75,17.5,1,25,16,5099,2369 X PHP02,5/16/23,65.0,60.0,1319.975,112.5
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$1$PLOT5100ROW26$RANGE16$@PHK56 X LH185,Lincoln,0,Low,75,75,17.5,1,26,16,5100,PHK56 X LH185,5/16/23,40.0,67.0,1475.175,128.7
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5101ROW2$RANGE17$@LH195 X LH185,Lincoln,0,Low,75,75,17.5,2,2,17,5101,LH195 X LH185,5/16/23,55.0,68.0,1499.325,86.5
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5102ROW3$RANGE17$@LH123HT X 3IIH6,Lincoln,0,Low,75,75,17.5,2,3,17,5102,LH123HT X 3IIH6,5/16/23,50.0,64.0,1408.025,110.67
LINCOLN$HYBRID HIPS$75N$DRYLAND$REP$2$PLOT5104ROW5$RANGE17$@LH195 X LH123HT,Lincoln,0,Low,75,75,17.5,2,5,17,5104,LH195 X LH123HT,5/16/23,64.0,69.0,1526.575,87.28
